GrassTile01 -99009a
CounterGreenRM -e436e3
CounterGreenRDE -e436e4
CounterGreenDRE -e436ed
CounterGreenDM -e436ee
CounterGreenDLE -e436ef
CounterGreenD -e436f0
CounterGreenLM -e436e9
CounterGreenLDE -e436ea
CounterGreenLD -e436eb
CounterGreenL -e436ec
Stairs01StairsUpRightTop -5a527b
Stairs01StairsUpRightCenter -5a527c
Stairs01StairsUpLeftCenter -5a527f
Stairs01StairsUpLeftBottom -5a5280
Stairs01StairsUpRightBottom -5a527d
Stairs01StairsUpLeftTop -5a527e
Tree18 -92a2bb
TreeSprite02 -ff66cd
TV -e5d2a5
SmallRock -b6c6e7
DirtPathL -9226a
DirtPathU -92269
DirtPathD -9226c
DirtPathDL -9226b
DirtPathR -9226e
DirtPathDR -9226d
DirtPathC -92270
DirtPathUR -9226f
DirtPathRU -92264
DirtPathLD -92266
DirtPathLU -92265
DirtPathUL -92268
DirtPathRD -92267
StairsUpL -99daee
StairsUpR -99daed
StairsDownL -99daf0
StairsDownR -99daef
TransitionBuildingV -6a2213
Mailbox04 -ffaa88
SmallWaterRock01 -4e3a31
House11 -769af7
House10 -769af8
House13 -769af5
House12 -769af6
House15 -769af3
House14 -769af4
MaplesHouseB3 -2856ae
House19 -769af1
MaplesHouseB2 -2856af
House16 -769af2
MaplesHouseB1 -2856b0
House3 -769aff
House2 -769b00
House6 -769afd
House5 -769afe
House7 -769afb
House4 -769afc
House9 -769af9
House8 -769afa
House28 -769ae7
Mailbox02 -6fb700
House26 -769ae8
House29 -769ae5
House27 -769ae6
House30 -769ae3
House31 -769ae4
House33 -769ae1
House32 -769ae2
RedRugTL -2ea2ba
House18 -769aef
House17 -769af0
House21 -769aed
House20 -769aee
House23 -769aeb
House22 -769aec
House25 -769ae9
House24 -769aea
House43 -769ad7
House42 -769ad8
House45 -769ad5
House44 -769ad6
House47 -769ad3
House46 -769ad4
House49 -769ad1
House48 -769ad2
House35 -769adf
House34 -769ae0
House37 -769add
House36 -769ade
House39 -769adb
House38 -769adc
House41 -769ad9
House40 -769ada
Flooring04 -6382cd
House58 -769ac8
House50 -769acf
House51 -769ad0
House53 -769acd
House52 -769ace
House55 -769acb
House54 -769acc
House57 -769ac9
House56 -769aca
House0 -769ab6
Flooring01 -6e8ebf
Flooring08 -6286bc
CounterBlueD -ffa620
CounterBlueDLE -ffa61f
CounterBlueDM -ffa61e
CounterBlueDRE -ffa61d
CounterBlueL -ffa61c
SmallWaterRock02 -5686b4
CounterBlueLD -ffa61b
CounterBlueLDE -ffa61a
CounterBlueLM -ffa619
Flooring02 -507ab9
CounterBlueLU -ffa618
CounterBlueLUE -ffa617
CounterBlueR -ffa616
CounterBlueRD -ffa615
CounterBlueRDE -ffa614
CounterBlueRM -ffa613
CounterBlueRU -ffa612
Flag -104300
CounterBlueRUE -ffa611
GrassTile05 -df4be0
Flowers01 -270f28
WallGray -575758
BlankImage -ff01
FloorYellowBrick01 -df4bdf
TomGymRightWall -df4bde
TomGymLeftWall -df4bdd
FloorYellowBrick02 -df4bdc
YellowLedge01 -df4bdb
YellowLedge02 -df4bda
YellowStair01 -df4bd9
YellowStair02 -df4bd8
YellowStair03 -df4bd7
YellowStair04 -df4bd6
GlassTable -a1301
Poles01C -272740
Table02 -afafb8
Poles01L -27273f
Poles01R -27273e
StoneBrickPath2UL -674f48
WallPC -f0f30
StoneBrickPath2RD -674f47
StoneBrickPath2LD -674f46
StoneBrickPath2RU -674f45
Mailbox01 -ff87dd
StoneBrickPath2LU -674f44
StoneBrickPath2U -674f50
TVPC -70f30
StoneBrickPath2L -674f4f
StoneBrickPath2C -674f4e
StoneBrickPath2D -674f4d
StoneBrickPath2R -674f4c
StoneBrickPath2UR -674f4b
StoneBrickPath2DR -674f4a
StoneBrickPath2DL -674f49
BedLeft -3334
CounterKitchen -48577d
BookShelfPC2 -272720
InsideTree01 -2f9f68
ShelfBack02 -d88f97
ShelfBack01 -c6bf97
Sink -87d7d8
TransitionBuildingH -5f1708
Bed -176750
FloorTileGray01 -473f30
FloorTileTan01 -71f70
FloorTileGray02 -473f2f
FloorTileTan02 -71f6f
Sign -efc7a0
SmallBox01 -71f78
Mailbox05 -c3c3be
Flowers03 -176f98
MaplesHouseF -1f4fa0
RedRugL -31a7bf
FloorTilePC -73798
LaptopDesk -efaf80
RedRugC -279fb8
Window02 -5fa7c9
Window01 -5fa7c8
Shelf01 -8f7718
Table03 -72fa0
LabMachine6 -f7a770
MartCounter01 -a78740
TableWide -72f9f
TableSmall01 -72f9e
TableSmall02 -72f9d
TableSmall03 -72f9c
House1 -b1572d
PokeCenter -5fe000
Stool03 -717a8
LabMachine5 -173fb8
MartCounter02 -8f3730
BookCase01 -2f2f88
Crate01 -3f5f98
RedRug2C -3f9790
RedRug2UL -3f978f
RedRug2UR -3f978e
RedRug2DL -3f978d
RedRug2DR -3f978c
RedRug2U -3f978b
RedRug2L -3f978a
RedRug2R -3f9789
Item -6fcfd8
Flooring07 -2f4f98
WallOrange -767c0
RedRug2D -3f9788
Entrance -fbfd0
Shelf02 -b74f78
BookShelfPC3 -bf5780
Stool04 -d74718
EntranceH -fbfcf
EntranceV -fbfce
Fountain -5f6798
Fridge -877750
Stool02 -777d0
Crate02 -e76730
BlockingDoor -6f7fa8
Tree09 -532ba0
TreeBFM-Left -532b9f
TreeBFM-Right -532b9e
Mailbox07 -62ffb1
GymB -1477cd
LabMachine7 -f57d8
GymY -1477ce
GymR -1477cf
GymP -1477d0
GymRAINBOW -1477ca
GymW -1477cb
GymK -1477cc
Apartment01 -7f77a0
CounterRedD -1fd000
CounterRedDLE -1fcfff
CounterRedDM -1fcffe
CounterRedDRE -1fcffd
CounterRedL -1fcffc
CounterRedLD -1fcffb
CounterRedLDE -1fcffa
CounterRedLM -1fcff9
CounterRedLU -1fcff8
CounterRedLUE -1fcff7
CounterRedR -1fcff6
CounterRedRD -1fcff5
CounterRedRDE -1fcff4
Flooring06 -5373bf
CounterRedRM -1fcff3
CounterRedRU -1fcff2
Flooring05 -4363ad
CounterRedRUE -1fcff1
Tree04 -532ba4
Flooring03 -5f7fb0
BookShelfPC1 -a71758
MachinePC -f6000
CounterPC01 -100000
Tree02 -532ba3
LabMachine1 -f5fff
Tree01 -532ba2
LabMachine2 -f5ffe
LabMachine3 -f5ffd
Tree08 -532ba8
LabMachine4 -f5ffc
RedRugBL -3bb7d0
Tree06 -532ba7
Tree05 -532ba6
Tree03 -532ba5
Tree13 -532bac
Tree12 -532bab
Tree11 -532baa
Tree10 -532ba9
Tree17 -532bb0
Tree16 -532baf
Tree15 -532bae
Tree14 -532bad

