# ↓	Pokémon ↓	Catch rate ↓
452 	Drapion 	45
461 	Weavile 	45
470 	Leafeon 	45
471 	Glaceon 	45
475 	Gallade 	45
477 	Dusknoir 	45
479 	Rotom 		45
492 	Shaymin 	45
495 	Snivy 		45
496 	Servine 	45
497 	Serperior 	45
498 	Tepig 		45
499 	Pignite 	45
500 	Emboar 		45
501 	Oshawott 	45
502 	Dewott 		45
503 	Samurott 	45
508 	Stoutland 	45
521 	Unfezant 	45
526 	Gigalith 	45
528 	Swoobat 	45
534 	Conkeldurr 	45
537 	Seismitoad 	45
538 	Throh 		45
539 	Sawk 		45
542 	Leavanny 	45
545 	Scolipede 	45
553 	Krookodile 	45
561 	Sigilyph 	45
564 	Tirtouga 	45
565 	Carracosta 	45
566 	Archen 		45
567 	Archeops 	45
571 	Zoroark 	45
581 	Swanna 		45
584 	Vanilluxe 	45
609 	Chandelure 	45
612 	Haxorus 	45
620 	Mienshao 	45
621 	Druddigon 	45
625 	Bisharp 	45
626 	Bouffalant 	45
633 	Deino 		45
634 	Zweilous 	45
635 	Hydreigon 	45
636 	Larvesta 	45
643 	Reshiram 	45
644 	Zekrom 		45

132 	Ditto 		35

113 	Chansey 	30
198 	Murkrow 	30
242 	Blissey 	30
359 	Absol 		30
430 	Honchkrow 	30
441 	Chatot 		30
462 	Magnezone 	30
463 	Lickilicky 	30
464 	Rhyperior 	30
465 	Tangrowth 	30
466 	Electivire 	30
467 	Magmortar 	30
468 	Togekiss 	30
469 	Yanmega 	30
472 	Gliscor 	30
474 	Porygon-Z 	30
483 	Dialga 		30
484 	Palkia 		30
489 	Phione 		30
601 	Klinklang 	30
604 	Eelektross 	30

036 	Clefable 	25
143 	Snorlax 	25
208 	Steelix 	25
212 	Scizor 		25
226 	Mantine 	25
227 	Skarmory 	25
369 	Relicanth 	25
458 	Mantyke 	25
550 	Basculin 	25
615 	Cryogonal 	25

637 	Volcarona 	15

382 	Kyogre 		5
383 	Groudon 	5

144 	Articuno 	3
145 	Zapdos 		3
146 	Moltres 	3
150 	Mewtwo 		3
243 	Raikou 		3
244 	Entei 		3
245 	Suicune 	3
249 	Lugia 		3
250 	Ho-Oh 		3
374 	Beldum 		3
375 	Metang 		3
376 	Metagross 	3
377 	Regirock 	3
378 	Regice 		3
379 	Registeel 	3
380 	Latias 		3
381 	Latios 		3
384 	Rayquaza 	3
385 	Jirachi 	3
386 	Deoxys 		3
480 	Uxie 		3
481 	Mesprit 	3
482 	Azelf 		3
485 	Heatran 	3
486 	Regigigas 	3
487 	Giratina 	3
488 	Cresselia 	3
490 	Manaphy 	3
491 	Darkrai 	3
493 	Arceus 		3
494 	Victini 	3
638 	Cobalion 	3
639 	Terrakion 	3
640 	Virizion 	3
641 	Tornadus 	3
642 	Thundurus 	3
645 	Landorus 	3
646 	Kyurem 		3
647 	Keldeo 		3
648 	Meloetta 	3
649 	Genesect 	3
